
,BM,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,127A016,17,32,0,0,0,0,27,67,42,0,4,0,0,189
,127A017,0,0,0,0,0,0,0,13,2,0,0,0,0,15
,127A018,30,63,1,16,0,3,61,183,94,1,10,0,5,467
,127A019,15,6,1,0,0,0,5,46,10,0,4,0,0,87
,127A020,30,31,0,0,0,0,33,207,28,0,24,0,1,354
,127A021,24,8,0,0,0,0,13,66,14,0,11,0,0,136
,127A022,44,19,0,1,0,1,26,92,26,0,27,0,2,238
,127A023,47,35,2,5,1,5,70,280,65,1,22,0,2,535
,127A024,12,8,13,10,0,0,19,35,19,1,5,0,2,124
,127A025,20,25,0,0,0,2,40,159,45,0,9,0,3,303
,127A026,50,43,1,3,0,0,35,153,46,0,10,0,4,345
,127A027,55,41,0,1,0,5,38,137,12,0,22,0,1,312
,127A028,43,22,4,4,0,1,18,87,6,0,3,0,0,188
,127A029,9,9,2,10,0,0,8,81,6,0,1,0,0,126
,127A030,4,4,0,1,0,0,1,5,5,0,1,0,0,21
,127A031,12,27,0,0,0,1,19,81,10,0,7,1,4,162
,127A032,54,93,3,7,0,0,44,197,105,0,9,2,7,521
,127A033,17,29,1,4,0,1,43,142,48,0,19,0,5,309
,127A034,44,65,8,15,0,0,92,140,131,0,14,0,16,525
,127A035,31,45,9,18,0,1,44,130,114,0,24,2,16,434
,127A036,26,22,0,0,0,0,17,167,75,0,13,0,4,324
,127A037,4,1,0,0,0,0,1,22,15,0,1,0,0,44
,127A038,13,2,0,0,0,0,0,25,4,0,2,0,0,46
,127A039,7,6,0,0,0,0,11,54,5,0,7,0,1,91
,127A040,1,6,5,9,0,0,1,16,2,0,4,0,0,44
,127A041,21,11,0,5,0,1,15,53,24,0,0,0,1,131
,127A042,8,19,1,4,0,0,12,86,14,0,7,1,0,152
,127A043,10,5,0,0,0,0,0,38,23,0,1,0,0,77
,127A044,0,0,7,10,0,0,0,0,0,0,0,0,0,17
,127A045,50,41,0,0,1,0,31,109,78,0,9,0,2,321
,127A046,13,12,8,20,0,0,29,44,24,0,1,0,4,155
,127A047,11,20,0,2,0,0,42,63,14,0,9,0,0,161
,127A048,9,16,0,0,0,0,8,43,18,0,7,0,0,101
,127A049,1,2,1,0,0,0,6,10,11,0,2,0,2,35
,148A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,148A001,1,2,52,239,10,15,1,0,5,27,0,0,11,363
,148A002,0,2,29,239,12,14,0,0,1,20,0,0,29,346
,148A003,0,3,48,202,11,15,1,0,6,20,0,3,18,327
,148A004,1,1,53,226,9,19,2,1,3,25,0,0,17,357
,148A005,0,0,67,258,27,5,1,1,1,51,0,0,12,423
,148A006A,0,0,32,198,16,12,0,0,0,25,0,0,4,287
,148A006B,0,0,19,157,5,2,0,0,2,3,1,0,5,194
,148A007,0,0,30,95,8,3,0,0,0,6,0,0,0,142
,148A008,0,0,66,277,7,2,0,0,0,49,0,0,7,408
,148A009,0,0,48,155,7,9,0,0,0,18,0,0,1,238
,148A010,1,0,32,227,17,18,2,2,1,54,0,0,10,364
,148A011,0,1,46,193,11,6,0,0,9,15,0,0,4,285
,148A012,0,0,75,214,2,18,0,0,0,23,0,0,8,340
,148A013,0,0,4,38,0,0,0,0,0,5,0,0,1,48
,148A014,0,0,35,131,3,11,0,0,1,33,0,0,21,235
,148A015,0,0,31,75,0,0,0,3,1,21,0,0,8,139
,148A016,0,0,19,110,2,19,0,0,1,22,0,0,0,173
,148A017,0,0,16,175,4,25,0,0,1,42,0,0,1,264
,148A018,0,2,47,188,2,7,0,0,0,47,0,0,8,301
,148A019,1,0,75,142,3,19,0,1,0,36,0,0,5,282
,148A020,0,2,42,131,11,5,0,0,0,46,0,0,8,245
,149A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149A001,0,0,51,193,6,24,1,0,11,16,0,0,0,302
,149A002,0,2,43,301,3,40,0,0,6,15,0,0,1,411
,149A003,0,0,65,277,13,24,0,0,2,9,1,1,3,395
,149A004,0,0,19,71,0,32,0,0,4,0,0,0,0,126
,149A005,0,0,99,162,4,2,0,0,6,3,0,0,2,278
,149A006,1,0,41,126,16,7,0,0,7,6,0,0,4,208
,149A007,0,0,133,170,21,24,0,0,10,1,0,0,1,360
,149A008,0,2,43,195,9,4,0,0,6,16,0,0,1,276
,149A009,1,0,52,220,5,7,0,0,6,7,0,1,0,299
,149A010,0,1,47,298,3,16,2,0,18,5,0,0,6,396
,149A011,1,0,36,154,2,16,0,0,14,37,0,0,1,261
,149A012,2,0,35,405,11,38,0,0,5,8,0,0,1,505
,149A013,0,0,37,323,10,23,0,0,6,5,0,0,11,415
,149A014,0,1,32,53,4,1,0,1,2,1,0,0,4,99
,149A015,0,0,63,202,5,8,0,0,5,2,1,0,2,288
,149A016,0,1,50,126,0,24,0,0,5,2,0,0,0,208
,149A017,0,0,59,153,9,14,1,0,7,4,0,0,1,248
,149A018,1,0,49,203,7,16,0,1,14,10,0,0,3,304
,150A001,0,0,27,176,11,26,0,0,0,48,0,0,0,288
,150A002,0,0,22,229,18,58,2,0,0,2,0,0,2,333
,150A003,0,0,101,236,19,7,0,0,0,16,0,0,4,383
,150A004,0,0,79,212,14,18,1,0,0,16,0,0,17,357
,150A005A,0,0,39,200,9,14,0,0,1,5,0,0,6,274
,150A005B,0,0,53,176,8,5,0,0,0,4,0,0,0,246
,150A006,0,0,30,251,16,26,0,0,3,7,0,0,2,335
,150A007,1,0,72,406,19,32,0,0,2,8,0,0,1,541
,150A008,0,0,37,499,12,46,0,0,1,20,0,0,2,617
,150A009,0,0,40,181,14,34,0,1,0,5,0,0,1,276
,150A010,3,0,23,169,5,16,0,1,2,1,0,0,1,221
,150A011,0,0,45,226,7,4,0,0,1,3,0,0,0,286
,150A012,0,0,43,207,19,10,0,0,0,1,0,0,4,284
,150A013,0,0,26,194,18,4,0,0,4,1,0,0,0,247
,150A014,0,0,2,428,0,25,0,0,0,2,0,0,0,457
,150A015,0,0,43,288,15,4,0,0,0,10,0,0,2,362
,150A016,0,0,88,511,22,33,0,0,1,11,0,0,3,669
,150A017,1,1,57,234,19,9,0,0,1,6,1,0,6,335
,150A018,0,2,96,346,17,13,0,0,7,3,0,0,4,488
,150A019,0,0,85,349,24,22,1,0,1,5,0,0,2,489
,150A020,0,0,83,344,19,24,0,0,0,7,0,0,2,479
,150A021,0,1,51,337,29,15,0,0,0,0,0,1,9,443
,150A022,0,0,49,354,20,22,0,0,0,4,0,0,6,455
,150A023,0,0,46,143,16,4,0,0,0,1,0,0,0,210
,150A024,0,0,99,208,5,15,0,0,0,4,0,0,1,332
,150A025,0,0,43,159,15,27,0,0,0,0,0,0,7,251
,150A026,0,0,15,79,2,1,0,0,0,0,0,0,0,97
,150A027,0,0,61,39,4,0,0,0,1,4,0,0,0,109
,150A028,0,0,34,258,5,15,0,0,0,0,0,0,0,312
,150A029,0,0,21,141,8,38,0,0,7,4,0,0,5,224
,150A030,0,0,34,202,29,2,0,0,2,4,0,0,6,279
,150A031,0,0,37,224,20,15,0,0,0,13,0,0,1,310
,150A032,0,0,103,425,33,15,0,0,4,8,0,0,8,596
,150A033,0,0,12,190,41,8,0,0,0,13,0,0,3,267
,150A034,0,0,67,210,14,3,0,0,0,7,0,0,1,302
,150A035,0,0,46,251,10,32,0,0,0,12,0,0,5,356
,150A036,0,2,41,236,12,10,0,0,2,18,0,0,2,323
,151A001A,1,9,93,202,13,4,14,30,5,2,1,0,11,385
,151A001B,0,4,39,159,9,1,8,10,4,2,0,0,15,251
,151A002,2,12,46,306,12,1,17,57,7,14,2,0,24,500
,151A003,1,2,32,211,11,2,1,1,4,19,1,0,17,302
,151A004,1,1,80,386,39,7,0,0,2,4,0,1,10,531
,151A005,0,0,6,55,5,0,0,2,1,3,0,0,6,78
,151A006,10,15,1,4,0,0,62,238,22,1,1,0,1,355
,151A007A,0,4,63,212,4,9,3,0,2,0,0,0,31,328
,151A007B,2,3,64,159,9,1,1,1,0,1,0,1,23,265
,151A007C,0,1,47,136,5,0,0,0,1,1,0,0,23,214
,151A008,2,2,21,79,9,3,9,0,8,3,0,3,23,162
,151A009,0,2,58,186,10,2,1,0,2,2,0,0,23,286
,151A010,11,8,20,50,2,1,42,64,16,3,2,9,4,232
,152A001A,35,46,0,0,0,1,99,228,17,0,3,6,2,437
,152A001B,23,46,0,1,0,1,38,147,17,0,2,5,0,280
,152A001C,11,35,1,1,0,0,56,137,29,0,2,0,0,272
,152A002,20,35,2,1,0,1,59,268,20,0,1,2,0,409
,152A003,56,54,7,19,1,1,56,324,22,1,7,25,2,575
,152A004,22,33,10,27,2,0,44,238,14,0,2,2,1,395
,152A005,11,11,0,0,0,0,36,311,8,0,8,3,0,388
,152A006,21,9,0,0,0,0,19,216,2,1,20,1,0,289
,152A007,47,32,2,5,0,0,52,324,15,0,10,0,4,491
,152A008,19,43,2,7,0,1,55,147,16,1,6,4,3,304
,152A009,50,46,1,0,0,0,58,315,15,0,17,2,0,504
,152A010,9,1,0,0,0,0,9,94,2,0,0,0,0,115
,153A001,0,6,87,308,17,17,0,2,1,3,0,1,35,477
,153A002A,0,1,40,211,25,8,0,1,2,2,0,0,10,300
,153A002B,1,0,41,163,9,0,0,0,1,4,0,0,2,221
,153A003,0,3,85,347,30,10,2,0,2,8,0,0,23,510
,153A004,0,4,78,247,8,5,2,5,5,3,0,0,17,374
,153A005,1,6,60,234,13,9,3,2,1,1,0,0,12,342
,153A006,1,3,51,207,11,2,1,0,3,18,0,0,7,304
,153A007,4,14,60,156,2,3,8,2,16,1,0,0,18,284
,153A008,2,7,90,278,25,12,1,1,10,2,0,1,29,458
,153A009,0,8,63,202,15,5,7,6,5,0,3,0,6,320
,153A010,3,26,64,158,13,5,21,15,33,7,0,0,9,354
,153A011,4,24,77,129,13,4,9,7,16,7,3,0,8,301
,153A012,1,16,53,180,13,1,4,4,18,4,1,1,9,305
,153A013,4,20,61,168,10,3,18,12,19,6,0,2,10,333
,153A014,2,33,52,157,12,10,13,5,32,3,1,0,16,336
,153A015,5,28,66,183,8,0,16,9,38,3,1,2,6,365
,153A016,8,28,67,167,11,6,26,8,36,2,4,1,10,374
,153A017,2,31,93,166,4,6,11,16,26,6,1,0,7,369
,153A018,10,34,61,230,6,13,12,11,26,2,0,1,11,417
,153A019,2,32,68,252,3,4,7,3,24,2,2,2,10,411
,153A020,5,30,91,222,10,4,10,20,44,5,3,2,15,461
,153A021,10,28,87,207,14,0,14,23,18,2,0,0,18,421
,153A022,0,13,75,309,12,3,4,0,9,2,1,0,15,443
,153A023,2,26,74,246,8,5,15,1,9,3,3,0,12,404
,153A024,4,9,68,195,17,7,4,7,6,1,0,0,7,325
,153A025,8,37,65,274,10,11,16,13,27,4,0,1,2,468
,153A026,19,38,51,141,8,8,37,8,18,3,0,1,11,343
,153A027,4,23,64,179,5,1,19,12,20,4,0,1,8,340
,153A028,2,15,62,156,12,3,18,5,9,2,0,2,7,293
,153A029A,4,11,30,124,17,2,5,3,6,2,0,0,15,219
,153A029B,3,12,28,108,4,4,11,11,4,3,0,2,20,210
,153A030,1,1,78,313,28,3,4,0,5,12,0,0,21,466
,153A031,3,1,5,68,7,0,7,29,1,5,0,0,3,129
,153A032,5,7,43,272,26,6,7,17,6,7,4,0,6,406
,153A033,2,4,61,283,29,4,4,11,5,4,0,0,36,443
,153A034,5,23,56,162,12,0,9,9,20,4,2,3,14,319
,153A035,2,10,57,267,20,11,3,3,8,1,0,0,9,391
,153A036,3,24,68,172,14,4,13,8,26,2,1,0,9,344
,153A037,8,50,66,207,7,4,26,16,55,6,6,0,10,461
,154A001,9,9,1,22,0,2,25,419,18,1,1,0,2,509
,154A002,10,51,2,8,0,1,54,489,12,0,4,0,3,634
,154A003,0,7,0,0,0,0,6,123,1,0,0,0,0,137
,154A004,45,64,5,9,0,43,46,272,27,0,3,17,3,534
,154A005A,29,54,13,64,2,0,59,155,15,8,13,6,3,421
,154A005B,41,30,11,66,0,0,35,138,11,1,10,3,3,349
,154A006,40,93,1,1,1,1,49,132,10,0,12,5,2,347
,154A007A,17,29,18,31,0,1,58,115,21,5,12,9,2,318
,154A007B,21,23,8,36,3,3,52,81,25,5,10,7,5,279
,154A007C,8,14,16,51,1,0,10,21,15,2,0,5,0,143
,154A008A,21,57,1,3,1,1,43,224,7,0,1,0,2,361
,154A008B,37,33,5,12,0,0,23,168,9,0,6,0,0,293
,154A008C,22,21,4,7,1,1,34,154,10,1,1,4,2,262
,154A009,32,39,2,24,0,0,45,158,35,0,7,1,2,345
,154A010,35,48,1,4,0,0,57,127,23,0,23,0,2,320
,154A011,4,13,5,10,0,2,24,47,6,0,2,1,1,115
,155A001A,26,37,5,3,0,0,47,67,44,1,1,3,0,234
,155A001B,18,41,1,3,0,1,30,60,16,0,1,0,0,171
,155A002,42,67,7,4,0,1,68,132,68,1,3,3,2,398
,155A003,55,71,5,4,0,3,91,109,83,0,4,4,5,434
,155A004,15,59,9,9,0,0,27,36,52,0,1,1,2,211
,155A005,44,56,0,7,1,2,58,78,58,0,3,4,2,313
,155A006,46,89,11,1,0,2,73,114,85,0,3,6,1,431
,155A007,21,65,0,3,0,2,58,48,29,0,2,3,2,233
,155A008,30,42,1,1,1,5,55,171,11,0,3,4,1,325
,155A009,29,55,1,1,0,1,69,137,12,1,2,0,0,308
,155A010,26,79,3,0,0,3,99,148,77,0,5,3,4,447
,155A011,34,94,2,2,0,3,77,166,62,0,11,6,2,459
,155A012,34,43,5,10,0,1,107,130,39,1,3,1,3,377
,155A013,31,83,12,2,1,3,67,102,92,1,5,6,2,407
,155A014,35,76,6,3,0,2,66,100,78,0,4,10,3,383
,155A015,67,43,1,0,0,2,82,176,27,1,11,2,0,412
,155A016A,22,28,0,0,0,0,57,176,13,0,2,0,1,299
,155A016B,25,24,2,0,0,2,52,207,10,0,10,4,0,336
,155A017,38,80,5,0,0,1,82,173,33,0,2,5,4,423
,155A018,16,64,6,4,1,2,77,143,38,0,8,4,4,367
,155A019,53,46,8,2,0,0,66,162,32,0,5,4,3,381
,155A020,49,77,3,11,0,1,87,176,35,0,6,2,1,448
,155A021,31,73,0,1,0,0,129,237,37,0,6,2,1,517
,155A022A,30,28,1,4,0,2,42,126,10,0,6,4,0,253
,155A022B,25,17,0,1,2,0,58,137,7,0,2,0,1,250
,155A023,26,39,2,4,0,0,71,183,7,0,4,2,2,340
,155A024,31,69,1,1,0,2,53,73,63,0,12,8,2,315
,155A025,30,41,1,1,1,3,48,83,33,1,2,3,3,250
,156A001,3,23,37,155,6,3,11,9,8,4,0,0,7,266
,156A002,10,20,74,159,9,7,20,6,28,1,0,1,9,344
,156A003,1,21,64,151,13,6,12,4,17,0,0,0,6,295
,156A004,0,6,78,258,6,4,3,0,3,3,0,0,15,376
,156A005,0,0,9,61,0,2,0,0,2,0,0,0,7,81
,156A006,0,1,5,44,2,2,0,0,0,0,0,0,1,55
,156A007,5,24,81,199,6,4,14,12,28,5,0,2,15,395
,156A008,1,5,96,279,17,15,2,0,1,9,0,1,55,481
,156A009,0,6,59,214,14,4,4,2,10,7,0,1,15,336
,156A010,1,30,73,186,9,2,30,4,31,1,3,0,16,386
,156A011A,4,12,43,162,7,5,10,5,9,5,0,1,3,266
,156A011B,3,4,45,184,9,2,13,2,12,3,0,0,6,283
,156A012,5,31,59,213,14,4,10,14,41,2,4,2,8,407
,156A013A,2,11,37,110,9,1,11,7,21,4,0,0,5,218
,156A013B,1,10,41,92,2,4,4,5,10,5,0,0,8,182
,156A014,9,21,53,160,11,6,8,6,19,7,0,1,10,311
,156A015A,2,5,26,132,6,2,15,6,18,6,0,0,9,227
,156A015B,2,9,42,140,4,1,4,4,11,3,2,1,10,233
,156A016,0,6,65,380,7,1,6,13,3,30,0,1,4,516
,156A017,0,0,0,5,0,16,0,0,0,0,0,0,1,22
,156A018,2,27,55,184,7,5,16,11,9,0,0,1,7,324
,156A019,1,10,76,176,16,11,6,3,12,1,1,0,23,336
,156A020A,12,10,41,119,9,4,20,27,7,2,1,0,10,262
,156A020B,11,9,41,125,5,4,25,24,12,1,2,0,9,268
,156A021,7,31,52,165,12,5,21,15,23,3,1,0,6,341
,156A022,0,11,34,139,6,0,9,3,17,0,0,0,10,229
,156A023,1,4,44,117,10,1,11,4,9,1,0,0,11,213
,156A024,1,9,68,185,18,13,6,1,2,3,1,1,16,324
,156A025,5,6,45,159,9,1,10,2,5,3,1,3,16,265
,156A026,0,0,1,65,0,0,0,0,0,0,0,0,0,66
,157A001A,21,43,8,19,1,2,33,58,38,0,2,3,0,228
,157A001B,6,33,14,19,2,1,27,35,37,0,1,0,3,178
,157A002,23,105,10,7,4,0,61,99,95,0,4,2,3,413
,171A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171A001,1,0,19,108,3,27,0,0,0,5,0,0,11,174
,171A002,0,0,116,75,10,31,0,0,1,13,0,0,23,269
,171A003A,0,2,39,127,10,12,0,1,2,13,0,0,7,213
,171A003B,1,5,18,103,3,12,0,0,2,12,0,0,4,160
,171A004,1,1,43,147,2,4,0,1,1,1,0,0,1,202
,171A005,0,0,130,169,16,30,0,1,1,1,0,0,2,350
,171A006A,1,0,16,77,14,6,0,0,0,39,0,0,5,158
,171A006B,0,1,39,154,21,14,0,1,2,29,0,0,12,273
,171A007,0,0,4,125,6,4,0,0,0,0,0,0,3,142
,171A008,0,0,37,105,13,0,0,0,0,0,0,0,2,157
,171A009,0,2,41,313,10,21,0,0,2,3,0,0,33,425
,171A010,0,1,60,115,10,22,2,6,0,14,1,0,7,238
,171A011,0,1,111,151,15,23,0,0,3,8,0,0,9,321
,171A012,0,0,38,152,5,26,0,0,0,14,1,0,21,257
,171A013,1,0,55,150,7,19,0,0,0,11,0,0,7,250
,171A014,0,0,62,354,20,14,0,0,2,17,0,0,17,486
,171A015,0,0,70,388,12,25,0,0,1,0,0,0,6,502
,171A016,0,0,91,96,2,36,0,0,0,0,0,0,12,237
,171A017,3,1,15,99,6,18,1,1,2,13,0,0,1,160
,171A018,1,0,68,193,14,51,0,0,3,19,0,0,66,415
,171A019,5,6,43,39,8,31,9,8,7,12,1,0,14,183
,171A020,0,3,66,165,10,32,2,10,11,15,2,2,12,330
,171A021,0,2,58,120,8,16,4,3,8,14,1,1,7,242
,171A022,0,0,55,159,53,15,0,0,2,55,0,0,7,346
,171A023,0,0,14,137,6,11,0,0,1,52,1,0,8,230
,171A024,0,0,15,244,5,9,0,0,1,25,0,0,4,303
,171A025,0,0,46,139,15,27,0,0,0,4,0,0,1,232
,171A026,0,0,82,182,17,45,1,0,2,12,0,0,24,365
,171A027,2,4,49,143,6,32,2,10,8,4,2,0,25,287
,171A028,1,0,86,82,4,2,0,0,0,12,0,0,2,189
,171A029,0,0,71,225,13,21,0,1,1,19,1,0,14,366
,171A030,0,0,18,127,4,35,0,0,3,3,0,0,5,195
,171A031,0,0,56,149,7,17,0,0,2,7,0,0,12,250
,172A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,172A001,0,1,74,197,41,8,0,0,0,9,0,0,6,336
,172A002A,0,1,59,130,28,3,0,0,0,9,0,0,2,232
,172A002B,1,0,44,161,24,0,0,0,1,2,0,0,5,238
,172A002C,0,0,42,99,20,1,0,0,1,7,0,0,1,171
,172A003,0,0,52,97,30,4,0,0,0,0,0,0,5,188
,172A004,0,0,31,246,55,2,1,0,0,0,0,0,1,336
,172A005,0,0,21,229,83,4,0,0,0,0,0,0,12,349
,172A006,0,0,25,208,15,6,0,0,0,0,0,0,10,264
,172A007,1,0,28,278,73,2,0,0,0,0,0,0,7,389
,172A008,0,0,28,134,46,1,0,0,0,0,0,0,3,212
,172A009,0,0,11,265,127,0,0,0,0,1,0,0,18,422
,172A010,0,0,34,200,53,1,0,0,1,5,0,0,6,300
,172A011,0,1,53,188,42,1,0,0,0,1,1,0,7,294
,172A012,0,1,77,291,90,7,1,0,1,6,0,0,4,478
,172A013,0,0,39,280,45,0,0,0,0,0,0,0,0,364
,172A014,0,0,46,214,96,2,0,0,1,0,0,0,4,363
,172A015,1,0,36,102,58,0,0,0,0,3,0,0,3,203
,172A016,0,0,19,171,37,2,0,0,0,1,0,0,33,263
,172A017,0,1,22,120,41,2,0,0,0,0,0,0,2,188
,172A018,0,0,32,177,42,0,0,0,0,0,0,0,11,262
,172A019,0,0,34,163,23,0,0,0,0,1,0,0,6,227
,172A020,0,0,25,142,42,1,0,0,0,0,0,0,12,222
,172A021,1,0,77,195,51,0,0,0,1,0,0,0,3,328
,173A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,173A001,1,23,38,209,31,2,9,3,4,4,2,0,7,333
,173A002,2,3,32,97,15,2,7,6,1,0,2,0,6,173
,173A003,2,14,23,127,16,3,6,2,12,3,6,0,5,219
,173A004,0,24,53,282,28,10,18,6,33,2,1,2,2,461
,173A005,3,3,99,320,15,1,12,32,3,2,10,0,4,504
,173A006,0,1,27,92,2,0,0,0,6,2,0,0,0,130
